Sat.Earth.RMAG            Sat.EarthMJ2000Eq.VMAG    Sat.EarthMJ2000Eq.FPA     Sat.Earth.TA              Sat.Earth.MA              Sat.Earth.EA              Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       
148805.3528210324         2.100106895903292         147.4354725224757         235.0000000000001         351.9966030058902         315.1572460312324         0.3951306432806749        2.013317774451463         0.4481877821170157        44840.47049375126         -124443.7850864112        -68162.37662712509        
148699.1394551581         2.101017761638963         147.4252100677972         235.0261330519482         352.0045496940952         315.1797345257511         0.3948047439420083        2.014221550404436         0.4486829557378247        44864.16855971942         -124322.9589119557        -68135.47050931548        
148379.034561628          2.10376841062424          147.3941974440475         235.1050682858305         352.0284840124003         315.2475639509295         0.3938179025902879        2.016950004058476         0.4501795933495247        44935.42532727589         -123958.7192354747        -68054.25316318109        
147519.7943148675         2.111192889084447         147.3103252011547         235.3182649052377         352.0926157867538         315.4300368676064         0.3911340910077898        2.024308648624126         0.4542290533176109        45125.47047702215         -122980.3028150898        -67835.29131976237        
144983.2022876696         2.133467363918744         147.0572696222707         235.9590942984446         352.2809759361909         315.9722031693848         0.3829052891011298        2.046332876128932         0.4664636026086777        45675.94411840103         -120085.7870716309        -67180.65806366414        
140113.3333372596         2.17779589591427          146.5473610301357         237.2399377778699         352.6385769054148         317.0282872360029         0.3657341068251301        2.089919208246788         0.4911936790788121        46687.08781005569         -114502.3850400549        -65888.2829555694         
135170.432549734          2.225051666178109         145.9946762828977         238.6137565264416         352.9961778746387         318.1220243795268         0.3462519008644773        2.136005495640148         0.5181168409777847        47648.83049163513         -108797.9740423075        -64526.23987767301        
130152.0116144138         2.275579288947708         145.3934854374616         240.0927123335829         353.3537788438627         319.2568347090007         0.3240597387496446        2.184820950284995         0.5475434240359747        48554.41180883414         -102965.4997975036        -63088.20074012996        
125055.6139582676         2.329781048387281         144.7369535252265         241.6912787148573         353.7113798130866         320.4366337750341         0.2986681126436613        2.236617458706244         0.5798443199039145        49395.87702558111         -96997.25864057716        -61566.92075754557        
119878.8931070169         2.388129176551725         144.0168598265889         243.4268226681928         354.0689807823106         321.6659314185763         0.2694710589890629        2.291669247178116         0.6154659810282145        50163.79922695012         -90884.83637230487        -59954.05555307493        
114619.7310839704         2.451181157969832         143.2232281228608         245.320369608761          354.4265817515345         322.9499555966971         0.2357113259914313        2.350270181229988         0.6549498570171983        50846.92023102249         -84619.05087956923        -58239.93204857463        
109276.4168933895         2.519598801594388         142.3438341006968         247.3976206695543         354.7841827207583         324.2948086609424         0.1964329732576806        2.412726740097876         0.6989577137636425        51431.68145764832         -78189.90731306274        -56413.25930906236        
103847.916130471          2.594171900570783         141.3635412753173         249.6903216744388         355.1417836899823         325.7076660037969         0.1504161536283933        2.479343228096294         0.7483047425559423        51901.60417621567         -71586.58170637034        -54460.76099517832        
98334.28048058591         2.675847233293757         140.2633948921001         252.2381275536454         355.4993846592061         327.1970301447203         0.09608642306161994       2.550393143112327         0.8040028798422922        52236.46133989743         -64797.4614227463         -52366.70523803882        
92737.27486309814         2.765763194831391         139.0193709014606         255.0911714980052         355.85698562843           328.773057195606          0.03138744162068875       2.626065838608715         0.867317179401374         52411.15812546862         -57810.29304735765        -50112.30059336301        
87061.34808730788         2.865288906572707         137.6006298961245         258.3136434203464         356.214586597654          330.4479768145878         -0.04639891713777034      2.706368838147979         0.939837949073467         52394.20201056876         -50612.52832149206        -47674.91901787841        
81315.15366526402         2.976062909251491         135.9670595387387         261.9888156171828         356.5721875668783         332.2366296558243         -0.1409071213390368       2.790949881698943         1.023569431364112         52145.59203862869         -43192.03146146792        -45027.10144766117        
75513.9638693708          3.100017489435696         134.0658042160287         266.2261225008007         356.9297885361034         334.1571433107396         -0.2570448175405059       2.878772445674107         1.121028814353265         51613.88925658978         -35538.44492972177        -42135.30713131513        
69683.54924815166         3.239353544157783         131.8264004871087         271.1710572338729         357.2873895053316         336.2317463305476         -0.4014772002682005       2.967522451611273         1.235329082024468         50732.15551756787         -27645.75770751006        -38958.40747693025        
63866.46846658752         3.39638280221454          129.1541609487508         277.0185852883297         357.6449904745694         338.4876481641653         -0.5832296246203726       3.052524495355857         1.370165518978031         49412.41395427629         -19517.07248098282        -35446.05793846366        
59273.19483188609         3.535917269119881         126.6237891097612         282.5123251424599         357.9307359662751         340.4424158076013         -0.7632007333020253       3.111946427170093         1.495334413825464         47966.25604204533         -12865.2261102599         -32357.9335560781         
54809.69335434326         3.687546265526411         123.6704994259347         288.8811783027451         358.2149655258581         342.5414838343112         -0.9807883543246306       3.155323755636645         1.637065564213609         46102.5322265226          -6136.640988327376        -29000.01112551451        
51320.44354003223         3.81927961042793          120.8886936886169         294.8456152728766         358.445421285456          344.3707311219535         -1.190997799426689        3.170660771398481         1.765030100906523         44217.80618525887         -629.7193461926995        -26041.83163399897        
48033.21945123388         3.956004851395823         117.7230137510957         301.6000323842886         358.6740791325328         346.3097404054388         -1.433636184012457        3.158290687753819         1.902593390035033         41957.27285024113         4838.330020001846         -22877.23734279031        
45203.66380080779         4.085200979777246         114.3741973369495         308.7142250146163         358.8861719408521         348.2263394309312         -1.690899929407717        3.111309208449997         2.037027118944715         39459.65574865614         9863.669948884499         -19723.4582250041         
