DefaultSC.Earth.TA        DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.EarthMJ2000Eq.FPA   DefaultSC.Earth.HMAG      DefaultSC.EarthMJ2000Eq.HX   DefaultSC.EarthMJ2000Eq.HY   DefaultSC.EarthMJ2000Eq.HZ   
10.89339464913389         12756.27259999989           22094.51225839855           0                           -2.621168905049653           1.709742974011751            3.124870346388716            87.79577249602731             112745.9077999545         69042.48617419161            -39861.69797819055           79723.39595638108            
11.48863213899308         12598.45380298472           22196.14112787394           187.4895221475346           -2.639416055693395           1.677868174904617            3.124735442839311            87.67607843630564             112745.9077999545         69042.4861741916             -39861.69797819055           79723.39595638109            
13.23516398431079         12128.35327425559           22483.73727215207           738.4065944985248           -2.691589203820523           1.583595977030801            3.122782615575904            87.32559050640666             112745.9077999545         69042.48617419161            -39861.69797819055           79723.39595638109            
18.79054111417212         10564.65384494328           23291.63832022202           2496.560548201187           -2.843509603292921           1.277221091617986            3.101162098165674            86.21945884592519             112745.9077999548         69042.48617419181            -39861.69797819067           79723.39595638133            
25.11998234749992         8660.590402296675           24008.00122819332           4503.709313936047           -2.989195693783494           0.9189653013271749           3.048202058363143            84.98055998958716             112745.9077999559         69042.4861741925             -39861.69797819105           79723.3959563821             
31.50297998346478         6614.837518427919           24501.08019730495           6521.922765787482           -3.104837063874386           0.5520217306410211           2.964878637247216            83.76197162597465             112745.907799957          69042.48617419317            -39861.69797819144           79723.39595638288            
37.85062545397901         4462.7062924794             24752.64728963493           8511.506625901635           -3.187274225130622           0.1859681529522662           2.853244524266614            82.58920142421516             112745.907799958          69042.48617419379            -39861.6979781918            79723.3959563836             
44.14839374033487         2219.606121399903           24755.89314401982           10455.71128448215           -3.235972580865337           -0.1739026887584429          2.715483116600054            81.47285242046974             112745.9077999589         69042.48617419432            -39861.69797819211           79723.39595638421            
50.38882114724634         -99.90881046267396          24505.64414895278           12339.34564239895           -3.251134580122234           -0.5229654453126132          2.554082414851603            80.42204863509566             112745.9077999596         69042.48617419477            -39861.69797819236           79723.39595638473            
56.56538080003406         -2480.12906946265           23997.93498024279           14146.82226894031           -3.233525026316417           -0.8570008085572962          2.371814412284114            79.44560809892981             112745.9077999603         69042.48617419515            -39861.69797819259           79723.3959563852             
62.67184855252454         -4903.842980948201          23230.3075718587            15862.0063836005            -3.184415853723973           -1.172230893201065           2.171669578938338            78.5521198512678              112745.9077999608         69042.48617419548            -39861.69797819279           79723.39595638559            
68.70325489949182         -7352.63648186402           22202.01480538652           17468.57738077974           -3.105515381689279           -1.465419581172249           1.956745421800117            77.74976654228384             112745.9077999613         69042.48617419576            -39861.69797819295           79723.39595638592            
74.65629466155183         -9807.061728912373          20914.12624890937           18950.22771817493           -2.998873603163277           -1.733911265713384           1.730145090221278            77.04627786922897             112745.9077999618         69042.48617419603            -39861.69797819313           79723.39595638624            
80.52973694271822         -12246.84582103553          19369.52560141703           20290.84239795657           -2.866775159951598           -1.975636948138849           1.494881641386855            76.4489285048529              112745.9077999622         69042.48617419628            -39861.69797819326           79723.39595638655            
86.32420995192169         -14650.85220551186          17572.99391634608           21474.50715523757           -2.711644600382384           -2.189065962900688           1.253820128515701            75.96463955929489             112745.9077999626         69042.48617419653            -39861.69797819341           79723.39595638683            
92.04199891318487         -16997.04190460556          15531.3384193758            22485.53928826494           -2.535966280183708           -2.373145025182216           1.009638709188706            75.60007220085777             112745.907799963          69042.48617419676            -39861.69797819354           79723.3959563871             
97.68658321418107         -19262.3322383578           13253.68373216167           23308.51092063464           -2.342229901081463           -2.527223651687548           0.7648187699962843           75.36171376496196             112745.9077999634         69042.48617419701            -39861.6979781937            79723.39595638739            
103.2622911087136         -21422.53536486672          10751.83300219495           23928.37634054257           -2.132892758394309           -2.650988234552249           0.5216451950412109           75.25589793904916             112745.9077999638         69042.48617419726            -39861.69797819384           79723.39595638769            
108.7739201537756         -23452.34772220546          8040.732287804249           24330.69504971816           -1.910360020472647           -2.744403384293269           0.2822186159568365           75.28875380139698             112745.9077999643         69042.48617419758            -39861.69797819402           79723.39595638801            
114.2264990259843         -25325.49391155092          5138.93162958816            24501.9869055853            -1.676973178173722           -2.807666681543742           0.04846803299169786          75.46606420879392             112745.9077999647         69042.48617419787            -39861.6979781942            79723.39595638834            
119.6252033114184         -27015.04502491913          2068.962897621857           24430.1967247713            -1.435000831063677           -2.841173590792164           -0.1778396212431571          75.79304066132029             112745.9077999653         69042.48617419822            -39861.6979781944            79723.39595638873            
124.9751180470314         -28493.82451819113          -1142.253094515535          24105.24933647164           -1.186642273787575           -2.84548821145239            -0.3950817514216274          76.27399914955647             112745.9077999659         69042.48617419857            -39861.6979781946            79723.39595638913            
130.2813239469005         -29735.06283736249          -4463.290228998414          23519.6746857833            -0.9340207694385564          -2.821322496917498           -0.6017755344626727          76.91196193444061             112745.9077999665         69042.48617419896            -39861.69797819482           79723.39595638956            
130.8933946493707         -29862.30988083021          -4853.499610274892          23434.76916734457           -0.9045759530315145          -2.816719648532211           -0.6249740692882966          76.99608805722731             112745.9077999665         69042.48617419894            -39861.69797819482           79723.39595638955            
