Final.Earth.TA            Final.EarthMJ2000Eq.VX    Final.EarthMJ2000Eq.VY    Final.EarthMJ2000Eq.VZ    Final.EarthMJ2000Eq.X     Final.EarthMJ2000Eq.Y     Final.EarthMJ2000Eq.Z     Initial.Earth.TA          Initial.EarthMJ2000Eq.VX   Initial.EarthMJ2000Eq.VY   Initial.EarthMJ2000Eq.VZ   Initial.EarthMJ2000Eq.X   Initial.EarthMJ2000Eq.Y   Initial.EarthMJ2000Eq.Z   
8.537736462515939e-07     -1.976341537461523        1.14104131866405          2.282082637328097         19134.40889999998         33141.76838759803         0                         0                         -3.008299911289022         1.736842763585845          1.886057355729414          12756.27259999999         22094.51225839872         0                         
0.2899180141197488        -1.984481441389238        1.126884161534043         2.28205342234886          19015.58395710309         33209.80629717336         136.9243739396024         0.5326134013778148        -3.02654145886512          1.704947307065632          1.885975866410629          12575.22605516274         22197.76670406291         113.1618115526946         
1.218382248215171         -2.010206596670291        1.081353417296271         2.281566688219666         18631.78516368205         33421.96777518297         575.3846179888542         2.23831111484519          -3.08319257449381          1.601824194143911          1.884618340785349          11988.18886773936         22515.48885545657         475.4491069114953         
4.254451283699467         -2.090607700128383        0.9305496179429295        2.275794186630002         17343.15160795781         34054.18507995014         2007.482665798691         7.815926085444532         -3.249117619920709         1.255193724039678          1.868536030649518          9997.22657079589          23413.77317542135         1655.490611310084         
9.741415358213521         -2.220882462122402        0.6516752381274009        2.24917825008103          14893.31196136978         34953.22393573981         4578.625462837041         17.89612275010101         -3.470058306438326         0.6009066086670138         1.794800849220423          6172.358938124164         24470.35186354753         3740.832446819952         
15.60267661966852         -2.337535453901573        0.347245627030434         2.197987898840767         12126.17762850711         35559.60717499366         7278.22571040715          28.66394725488092         -3.587621884287603         -0.1179853956620168        1.654917566700899          1879.170088333239         24764.11297356855         5839.297131804297         
21.50758254799478         -2.430339975238776        0.03688582536231983       2.123179071070783         9210.304823404858         35794.5290961435          9920.906594404811         39.51195213253217         -3.578304848784095         -0.8379654605103393        1.455077931570803          -2512.517833678075        24178.25185811607         7745.279452867592         
27.41746475234033         -2.497399165399009        -0.274126525375768        2.025747857937712         6194.120520855879         35649.31814749468         12460.39334858366         50.36909901298321         -3.440930053344537         -1.528558322631415         1.203001792637607          -6817.951697078643        22726.68174021177         9375.683138710177         
33.3279019811926          -2.537913909196164        -0.5822536463231317       1.906771094820184         3111.802103514474         35125.09327083488         14867.64696222406         61.22726553856135         -3.180339055645867         -2.164484808297684         0.9078284510671294         -10879.66639902419        20461.24178709974         10670.53916903307         
39.23840615947383         -2.551445935244093        -0.8841937073087035       1.767520142649578         -3.635875447871399        34227.41145636385         17116.85448868479         72.08555505809387         -2.805864916640549         -2.722913461702274         0.5801446719837415         -14551.85210145554        17463.10905853416         11583.32357353485         
45.14885031927869         -2.537851034978604        -1.176730029310934        1.609478452656633         -3119.003674487381        32965.83535205966         19184.05409263292         82.94373431664451         -2.330924268727676         -3.183836508960944         0.2316908035474349         -17702.93936664315        13839.70075043761         12081.3320251296          
51.05930027707438         -2.49727396964242         -1.456755773617183        1.434324811111352         -6201.213616343005        31353.76889570139         21047.29297389771         93.80192422678404         -1.772519510488691         -3.530756034801462         -0.1250595795387007        -20220.13867734721        9720.729312733481         12146.74343515889         
56.96980758413854         -2.430145372281101        -1.721295926324255        1.243919664122497         -9217.521750565542        29408.33203954563         22686.77401569819         104.6602194942567         -1.150639657304085         -3.751250842955865         -0.4773352941549324        -22013.32665892997        5253.642005661897         11777.20924777147         
62.88027835961449         -2.337179876748351        -1.967533627224559        1.040290332865575         -12135.81059376542        27150.23770608711         24085.03912276073         115.518447648916          -0.4875620888949894        -3.837421444594296         -0.8125166809508853        -23018.26181580248        598.4622676126407         10985.96506801606         
68.79073993846731         -2.219365757950744        -2.192852237452599        0.8256010079483493        -14925.06764409383        24603.48704550619         25227.23125573952         126.376658908299          0.1929727377855124         -3.786184247141033         -1.118603531174058         -23198.97382703582        -4078.139626564896        9801.344455790755         
74.70121823700769         -2.077955051305197        -2.394857118311458        0.6021333031967681        -17555.64951316646        21795.14538624406         26101.21115146011         137.2349008837087         0.8665996117544044         -3.599373439397661         -1.384636937051434         -22548.99108148061        -8608.726957045586        8265.759733304634         
80.61168318350386         -1.914451926672167        -2.571399517843325        0.3722642439004972        -19999.5744861804         18755.08492085448         26697.68203033859         148.0931183298461         1.509194351463379          -3.283679044185348         -1.601089577465699         -21091.59029680429        -12831.04852442429        6434.203532533449         
86.52217608072976         -1.730593532954774        -2.720603568182862        0.1384361790724651        -22230.87502184096        15515.60561905841         27010.30532680042         158.9513871247521         2.09775153198917           -2.85040265203451          -1.760212124174442         -18878.94439778474        -16593.94132846063        4372.245669616314         
92.43263796168559         -1.5283364898475          -2.840881474966775        -0.09686251174471563      -24225.80599298078        12111.18187246638         27035.75435330786         169.8095989391306         2.611190714193644          -2.315063108930372         -1.85630529454509          -15990.30478932223        -19762.62937201774        2153.739917315703         
98.34313260933449         -1.309829016383607        -2.930955720931053        -0.3311326576633397       -25963.17858910123        8577.97292062568          26773.75868146674         180.6678709497676         3.031132333518407          -1.696823866236664         -1.885929223074153         -12529.07551795952        -22223.68318166766        -141.8981635169831        
104.2535731157246         -1.077397553773551        -2.989867488644161        -0.5618800927789752       -27424.49716098919        4953.595986664369         26227.10922076305         191.5260434965594         3.342533870984911          -1.017831752247399         -1.848023088657259         -8619.246791160202        -23888.94743931222        -2432.434496058414        
